0,30,30,30,30,30,30,30,30,30
0,7.490551709416514e-89,3.641648400537948e-58,6.32442745586799e-47,1.3064287094144621e-40,2.6986727015088254e-34,1.9166420978285013e-31,2.518870799511259e-29,3.3103259663443285e-27,4.350464504007049e-25
0.0659,0.0845,0.0893,0.1095,0.1347,0.1425,0.1436,0.223,0.2798,0.12
